fiscal_year,department,course_number,course_name,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,d,p_plus,p,f,w,wf,i,gpa_count,non_gpa_count,unknown_count,total_count,source_sheet,source_row,notes,unlabeled_18
2024,Science,SCI811,Independent Study in Chemistry,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,FY24,109,,
2024,Science,SCI812,Independent Study in Chemistry,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,FY24,110,,
2024,Science,SCI821,Independent Study in Physics,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,8,FY24,111,,
2024,Science,SCI822,Independent Study in Physics,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,8,FY24,112,,
2024,Science,SCI831,Independent Study in Biology,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,FY24,113,,
2024,Science,SCI832,Independent Study in Biology,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,FY24,114,,
2024,Wellness,WEL110,Foundations of Healthy Living,0,117,0,0,77,0,0,37,0,1,0,0,0,1,0,0,232,1,0,233,FY24,115,,
2024,Wellness,WEL231,Outdoor and Indoor Games,0,83,0,0,6,0,0,11,0,1,0,0,0,0,0,0,101,0,0,101,FY24,116,,
2024,Wellness,WEL251,Stress Management for Life,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,FY24,117,,
2024,Wellness,WEL312,Dance,0,17,0,0,5,0,0,2,0,0,0,0,0,0,0,0,24,0,0,24,FY24,118,,
2024,Wellness,WEL525,Movement and Relaxation,0,25,0,0,12,0,0,1,0,0,0,0,0,1,0,0,38,1,0,39,FY24,119,,
2025,Computer Science,CS100,Computer Science Inquiry,0,129,31,12,7,3,4,2,3,0,0,0,0,1,0,0,191,1,0,192,FY25,3,,
2025,Computer Science,CS205,Object Oriented Programming,0,30,15,5,8,7,1,3,2,0,0,0,0,0,0,0,71,0,0,71,FY25,4,,
2025,Computer Science,CS235,Web Technologies,0,19,3,6,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,28,FY25,5,,
2025,Computer Science,CS305,Advanced Programming,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,FY25,6,,
2025,Computer Science,CS315,Microcontroller Applications (CS),0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,FY25,7,,
2025,Computer Science,CS421,CS Seminar: Android Apps Development,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,FY25,8,,
2025,Computer Science,CS422,CS Seminar: UNIX/Linux and Cybersecurity,0,13,0,1,1,0,0,1,1,0,0,0,0,0,0,0,17,0,0,17,FY25,9,,
2025,Computer Science,CS431,CS Seminar: Machine Learning,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,FY25,10,,
2025,Computer Science,CS801,Independent Study in Computer Science,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,12,1,13,FY25,11,Includes counts in an unlabeled workbook column; excluded from GPA charts.,1
2025,Computer Science,CS802,Independent Study in Computer Science,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,11,1,12,FY25,12,Includes counts in an unlabeled workbook column; excluded from GPA charts.,1
2025,Mathematics,MAT101,Geometry I/II,0,5,1,3,8,7,2,4,1,4,0,0,0,0,0,0,35,0,0,35,FY25,13,,
2025,Mathematics,MAT110,Mathematical Investigations I/II,0,3,3,7,11,8,5,7,6,2,0,0,0,0,0,0,52,0,0,52,FY25,14,,
2025,Mathematics,MAT121,Mathematical Investigations II,0,16,14,10,22,11,6,7,5,2,0,0,0,1,0,0,93,1,0,94,FY25,15,,
2025,Mathematics,MAT122,Mathematical Investigations II,0,0,2,1,4,4,1,6,0,3,0,0,0,0,0,0,21,0,0,21,FY25,16,,
2025,Mathematics,MAT131,Mathematical Investigations III,0,27,10,1,10,6,7,8,10,7,0,0,0,3,0,0,86,3,0,89,FY25,17,,
2025,Mathematics,MAT132,Mathematical Investigations III,0,20,10,15,17,20,11,9,6,2,0,0,0,2,0,0,110,2,0,112,FY25,18,,
2025,Mathematics,MAT141,Mathematical Investigations IV,0,28,15,10,15,7,6,9,7,6,0,0,0,0,0,0,103,0,0,103,FY25,19,,
